
organism_name
Amoebophrya sp. A25
Trypanosoma cruzi Dm28c
Paralagenidium karlingii
Chrysochromulina tobinii
Blechomonas ayalai
Paratrypanosoma confusum
Paramikrocytos canceri
Pythium brassicum
Fistulifera solaris
Symbiodinium sp. CCMP2456
Thalassiosira sundarbana
Theileria equi strain WA
Blastocystis sp. subtype 9
Symbiodinium sp. clade A Y106
Symbiodinium sp. clade C Y103
Schizochytrium sp. CCTCC M209059
Pelomyxa schiedti
Leishmania martiniquensis
Cryptosporidium sp. chipmunk LX-2015
Tetmemena sp. SeJ-2015
Paraurostyla sp. PUJRC_G6
Urostyla sp. PUJRC_G1
Laurentiella sp. PUJRC_G5
Lotmaria passim
Lotmaria passim
Lotmaria passim
Symbiodinium necroappetens
Pilasporangium apinafurcum
Pilasporangium apinafurcum
Leishmania sp. AIIMS/LM/SS/PKDL/LD-974
Phytophthora agathidicida
Phytophthora agathidicida
Lenisia limosa
Rhizaria sp. SCN 62-66
Phytophthora taxon totara
Phytophthora taxon totara
Phytophthora chlamydospora
Stentor roeselii
Triparma laevis f. inornata
Stramenopiles sp. TOSAG23-2
Stramenopiles sp. TOSAG41-1
Stramenopiles sp. TOSAG23-3
Stramenopiles sp. TOSAG23-6
Aurantiochytrium sp. T66
Ectocarpus sp. Ec32
Amoebophrya sp. AT5.2
Novymonas esmeraldas
Dinobryon sp. LO226KS
